name,ofname,countryofreg,countryofown,owner,users,purpose,detpurpose,clasorbit,typeorbit,longitudegeo,perigee,apogee,eccentricity,inclination,period,launchmass,drymass,power,datelaunch,explifetime,contractor,countrycontractor,launchsite,launchvehicle
Lemur-2 NoguesCorreig (Lemur 2F28),Lemur 2F28,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,4,,,2/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL
Lemur-2 Orzulak (Lemur 2F84),Lemur 2F84,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,476,500,1.75E-03,97.5,95,4,,,11/29/18,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Oscarlator (Lemur 2FM118),Lemur FM118,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,534,538,2.90E-04,97.5,94.5,4,,,9/2/20,,Spire Global,USA,Guiana Space Center,Vega
Lemur-2 Ozarak ,Lemur,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,564,576,8.65E-04,36.9,96.1,4,,,11/7/20,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Pappy (Lemur 2FM108),Lemur 2FM108,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,566,576,7.20E-04,36.9,96.1,4,,,12/11/19,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 PeterG (Lemur 2F48),Lemur 2F48,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,586,596,7.18E-04,97.6,96.5,4,,,7/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2 PeterWebster (Lemur 2F68),Lemur 2F68,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,493,504,8.01E-04,97.5,94.5,4,,,1/11/18,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Rdeaton (Lemur 2-F25),Lemur 2F25,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,4,,,2/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL
Lemur-2 RemyColton (Lemur 2F88),Lemur 2F88,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,570,585,1.08E-03,97.7,96.2,4,,,12/27/18,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a
Lemur-2 RobMoore (Lemur 2F33),Lemur 2F33,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,477,489,8.76E-04,51.64,94.2,4,,,4/18/17,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer
Lemur-2 RocketJonah (Lemur 2F54),Lemur 2F54,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,451,454,2.20E-04,51.6,93.6,4,,,12/8/17,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer
Lemur-2 RomaCoste (Lemur 2F53),Lemur 2F53,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,451,455,2.93E-04,51.6,93.6,4,,,12/8/17,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer
Lemur-2 Sam-Amelia (Lemur 2F39),Lemur 2F39,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,509,9.46E-04,97.45,94.6,4,,,6/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 SarahBettyBoo (Lemur 2F93),Lemur 2F93,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,569,584,1.08E-03,97.7,96.2,4,,,12/27/18,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a
Lemur-2 Satchmo (Lemur 2-F24),Lemur 2F24,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,4,,,2/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL
Lemur-2 Schmidtfall (Lemur 2FM115),Lemur FM115,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,534,538,2.90E-04,97.5,94.5,4,,,9/2/20,,Spire Global,USA,Guiana Space Center,Vega
Lemur-2 ShainaJohl (Lemur 2F34),Lemur 2F34,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,511,1.09E-03,97.45,94.6,4,,,6/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
